Res DU,Res BE,Res FR,Res GB,
-14839.48236,8081.735018,-83947.50,13129.23613,
-30197.61141,16825.54279,-69075.10,19103.57001,
-2418.959868,25974.90112,-80984.68,30337.50496,
55687.06364,28338.63054,-61619.82,42613.5942,
39225.03098,22653.31729,-93548.89,9558.918162,
44563.37913,18982.49885,-95379.92,12191.83142,
50614.0252,-3983.435907,-97143.47,2664.321884,
55708.94798,-2379.150412,-100586.45,-7734.320563,
57399.47039,-7972.66966,-94628.19,-9425.78707,
41748.21473,-14160.48208,-115026.21,-24540.8073,
53462.69724,-15357.61674,-116278.37,-27907.59474,
41826.33917,-16701.21712,-115846.49,-26238.12766,
40892.64822,-18111.73405,-111209.06,-26584.89583,
37852.7626,-17752.60823,-91825.82,-20517.56457,
40296.35971,-15973.51305,-70012.86,-8041.929018,
38683.42089,-14148.38468,-53661.34,-1964.296633,
63027.141,-5781.100151,-2205.29,18356.13667,
36228.92637,-9526.046155,-3220.40,4432.967107,
39451.33028,-7519.485618,11659.62,10252.73836,
46756.69208,1345.841123,12807.98,8336.751207,
45460.64835,3735.076125,1979.53,1060.554756,
20356.25869,12541.83574,833.02,5167.247622,
-3650.967876,11650.21371,-1103.96,-1508.252398,
8351.258919,8562.954135,-9300.38,-15227.51013,
26995.29885,-919.5890025,-18631.26,-23348.80186,
31705.45261,-7280.981046,-30375.28,-23633.11005,
30568.46083,-6150.463737,-43712.80,-16781.14192,
73864.2178,-1003.596008,-13166.15,21463.62153,
22319.48954,-8133.202946,-50723.70,4582.838224,
3370.046146,-8813.541401,-55107.48,6858.467998,
-4336.600972,-8665.209733,-69362.07,3350.523829,
-7873.274348,-7113.855095,-81745.89,-1533.741633,
-20024.95204,-9221.388118,-95527.79,-6934.471588,
-67883.95062,-16457.66363,-143909.85,-19570.7236,
-78922.65076,-18261.17272,-158032.99,-20045.27243,
-95288.44597,-20706.00143,-170067.87,-24401.61026,
-101630.4132,-8841.179543,-165179.99,-25173.44827,
-95903.96193,-9000.769498,-143173.36,-22481.24344,
-96458.42322,-18227.87726,-134093.29,-19914.03799,
-88394.00383,-9244.2797,-122841.54,-23787.22221,
-43422.51066,-1081.52136,-69979.11,-8483.131998,
-48073.36836,-7495.959862,-75970.53,-7511.709082,
-23309.71061,-1002.867548,-61042.84,3650.489011,
-19711.17236,11170.30813,-69972.69,770.8703233,
-24255.06436,11396.55867,-91836.17,-7994.819837,
-13003.57054,11257.7612,-109272.07,-17540.26174,
-15106.91436,8359.854698,-122018.29,-24527.74102,
17937.00719,-6221.006704,-125316.48,-28695.44668,
20078.13181,-7088.675061,-117128.45,-23322.36739,
22896.26665,-8922.750811,-103714.54,-14683.60339,
32127.56899,-7513.038459,-87708.92,-3794.547221,
47054.59,-346.7095539,-38900.21,18667.62034,
2247.007151,-5481.761296,-64543.56,4506.996526,
5395.11632,-6143.576307,-62013.08,2850.412751,
-1231.464798,-6996.526127,-49303.08,201.3349336,
-9444.880772,-8514.247785,-46130.22,-4713.231255,
-25928.12198,-9530.773604,-54810.52,-10463.14614,
-67573.54128,-15559.66627,-86902.44,-25778.63831,
-70924.79245,-17295.26995,-87307.49,-28124.5233,
-75819.08583,-18052.74029,-79123.67,-27467.58352,
-72043.18632,-17987.88929,-77959.74,-27377.86326,
-62650.67969,-15203.89482,-64692.37,-17337.44614,
-24761.58152,-12680.3492,-47989.58,-5544.065583,
16635.10742,-5464.888223,-42141.73,11182.4158,
76223.86289,11130.53684,-13523.97,33041.62851,
96171.70734,13042.00251,-26199.08,39790.50424,
131731.6522,19949.15303,-29462.49,62193.00971,
140032.0477,29345.05873,-54954.17,64205.42263,
139633.8877,26856.47985,-98172.89,56442.65793,
133489.0726,22111.78425,-125539.69,52975.80895,
125078.0312,8745.800897,-140521.54,39481.68416,
139939.0618,-7001.532936,-137599.89,11766.37703,
157156.4842,-9518.781485,-124609.52,-2186.667266,
170960.5274,-9361.864064,-108048.29,3097.982808,
181520.0317,-8212.091021,-87766.94,9956.366807,
224350.6655,-682.7228328,-39004.04,31885.94119,
183146.7365,-5215.702899,-62955.29,16823.07651,
168566.3872,-3498.700278,-57496.54,15670.07237,
140100.9075,-6908.667826,-52127.32,12908.86067,
112672.877,-9085.265691,-47619.10,6870.509134,
69796.1419,-10609.52881,-41723.10,-67.59898172,
-3683.335243,-15173.85371,-62636.39,-4954.182726,
-50329.73053,-15753.92016,-71865.11,594.4538889,
-77666.86445,-6713.446117,-87584.88,8131.899184,
-68776.09144,2179.383161,-93223.61,16483.17259,
-51698.35241,11660.77059,-85199.91,21913.31125,
-28838.44937,7665.011004,-61540.38,27422.9177,
14898.25815,-1679.145863,-35051.88,39364.02547,
80411.51438,3582.279308,14683.35,58409.88697,
93136.40834,9858.892858,21198.14,51931.55817,
133752.8639,7273.453551,57041.42,62516.73841,
143634.503,6741.335397,62002.89,70737.38138,
126815.082,12497.8495,40661.35,64378.16941,
122455.5184,14499.87983,15715.16,48889.34899,
132685.1131,13955.53656,-1326.64,39374.02886,
142084.3103,8244.090469,-11056.46,37572.89766,
152583.205,11837.80433,-5777.20,41945.21068,
167847.626,11060.06535,26802.02,47220.69946,
181953.0387,3425.777492,64815.12,59561.73844,
237076.8921,8900.327485,125925.87,84404.07261,
189330.5797,2728.518099,108139.31,69442.02018,
176333.0459,1645.317127,104483.51,64963.91546,
179942.2705,-770.816466,105397.74,60391.10772,
170067.0269,-379.0720681,102345.47,60558.47773,
154893.9473,5094.619444,105357.51,60673.59246,
121439.8917,7595.566933,80426.13,48012.89885,
109952.4217,10003.1742,73431.94,45424.86945,
96335.25081,11016.0329,70390.88,41351.60819,
84542.85888,11633.65891,69350.00,34267.74974,
81212.27904,15881.04859,72951.81,31158.81511,
101571.9055,18733.72502,78274.34,30801.91752,
103505.6371,19335.62646,85414.38,26219.68274,
150063.0388,27453.17026,130902.46,38831.23207,
136737.1677,26267.66284,124932.30,32642.08096,
163116.8678,30072.18792,145583.24,43229.19225,
162777.0691,31316.14427,143391.16,40440.27422,
153387.6432,29987.59954,130152.32,28589.64571,
150522.0992,29049.10778,123415.80,15863.353,
154131.1885,29683.87632,121149.57,5466.739055,
158256.3607,29871.78429,121177.67,9043.28134,
165307.1659,27751.32307,125369.05,-790.810408,
182294.8283,24563.63404,132192.17,4746.30951,
167804.3359,20677.76794,137958.13,13650.49225,
194233.5429,18089.57554,176983.20,40129.26805,
134515.4482,5400.164772,132594.23,22702.02481,
122008.2921,2961.90492,118058.74,21256.39618,
81986.58285,1026.371308,96453.34,16853.9267,
58950.36454,-1534.719631,70703.88,15894.4492,
37065.64412,-4015.484849,47270.12,15607.75359,
10646.61617,-9651.220539,8674.55,2677.978878,
7133.019842,-10771.10954,-13629.05,-2128.283916,
-1448.672974,-13025.29657,-41163.52,-6019.510559,
-3345.838933,-13987.7151,-67459.86,-8117.374443,
7331.9215,-15055.74107,-84028.27,-8759.95358,
21160.68262,-16806.80545,-96152.93,21477.41381,
40076.72193,-16569.99924,-99231.43,-7175.861926,
102984.9643,-9349.827796,-64357.85,14797.31279,
94393.35279,-11426.37113,-87323.76,8984.033756,
125038.752,-8571.917852,-75122.33,22605.64886,
131859.4978,-8109.927449,-79508.26,25467.73429,
127694.572,-10133.10084,-102718.12,11574.75927,
123150.058,-11469.42184,-115008.29,-4381.850644,
116859.6354,-13154.56547,-116097.49,-14787.74985,
119821.1466,-14067.19008,-108699.81,-22518.83477,
124469.7495,-13427.07639,-96061.68,-13532.43717,
133608.2664,-11141.25274,-78015.79,-5753.341158,
136824.878,-8920.172727,-59326.63,12483.20382,
186043.3374,-22.33261816,-5006.94,45459.90434,
141094.6456,-6065.426068,-30319.34,23246.04035,
129746.0288,-6892.56497,-29832.04,20395.26914,
114278.8142,-8120.215642,-29807.73,16297.64667,
94499.33534,-10124.23851,-25759.14,9405.18363,
82940.05127,-11316.59516,-15871.65,2782.798864,
65158.97593,-13656.26542,-19708.97,-6850.938813,
53465.87609,-14282.63528,-27911.79,-12815.00433,
37453.74392,-15445.07651,-34753.92,-18331.08155,
25926.4192,-15970.41449,-34678.21,-24036.14938,
13834.59859,-16153.27923,-34528.26,-27514.89631,
7263.821212,-16354.14836,-29486.23,-30985.5656,
-1136.78271,-16197.03797,-26605.75,-31100.52876,
8061.602616,-9995.666486,-7264.67,-21817.47513,
-11161.13917,-9556.845717,-13178.61,-23150.00623,
8697.099016,-10278.96579,-2186.51,-19504.23036,
12530.99911,-8763.366472,4460.01,-12534.54568,
9957.69063,-7417.544061,4503.54,-17176.78042,
2735.363951,-4071.939837,6735.17,-21225.21281,
-7542.75633,-4112.417037,12331.33,-22095.03787,
-5778.085462,-2320.101049,29586.85,-15494.44294,
-2245.889615,-1333.766178,37845.15,-8649.567757,
382.62431,3239.42341,50723.70,4294.04121,
2035.69638,8187.686551,68471.82,41648.07174,
45340.6613,17976.4721,116644.88,32532.24498,
8299.119305,11497.26006,87229.85,12707.14445,
6819.841328,12736.18465,88233.29,13260.60232,
4180.760812,5455.726122,84101.76,15974.98852,
-1157.126845,5742.321078,82968.72,16480.81758,
-7579.555665,14042.71796,81196.55,15632.00391,
-37885.30868,5955.415273,63386.72,5051.548902,
-44611.37399,5134.92751,66314.22,6730.273531,
-50533.17762,7312.423319,65190.07,6433.171598,
-57525.52614,10502.56316,64540.24,5161.348665,
-62026.49538,9865.488337,64108.56,5243.072583,
-56628.73788,13153.09447,65460.83,9277.12096,
-51106.72869,16236.27258,73738.10,16666.92223,
-11916.65328,22953.05682,108160.81,29638.93691,
-38500.84052,18902.49224,84945.67,17361.25865,
-33868.67872,18921.90401,84785.56,21411.59836,
-32380.01293,19811.42244,82142.17,22131.84103,
-38560.89248,19482.15533,71092.20,45356.94313,
-45398.01596,18835.05008,56617.22,24135.5578,
-46560.75413,15465.9989,47115.19,25883.98378,
-43785.33514,13967.03204,42620.41,27223.16749,
-29197.70639,17195.11544,41634.10,26868.54988,
-14452.16589,18157.35902,50803.40,29765.93184,
-1349.564357,17258.88882,62012.88,34614.83173,
53028.70911,22092.12313,103545.80,59339.54847,
25438.91188,14163.48313,62474.14,45957.22827,
21206.19231,14598.11823,50139.80,45299.9338,
31092.27555,9072.450601,40890.91,40883.74058,
47105.74335,12044.12205,37430.23,31510.26551,
56327.85979,13022.44981,33278.54,24609.05181,
47517.06879,11435.15446,18800.32,19079.04634,
58080.44542,13071.60117,17793.12,17660.35015,
56942.3522,9828.890878,12045.15,15347.7926,
59422.85857,9130.110524,7476.24,12386.69516,
61782.10186,5919.532222,4371.94,14769.9863,
68818.43519,4182.693244,5130.97,19593.57189,
82740.65189,3648.805933,15379.69,26199.3102,
141917.5176,12501.08617,70202.60,51257.66307,
124526.0084,6966.310285,70359.52,47169.83529,
150169.6902,4785.4839,95672.37,55902.58796,
147280.7579,2978.276681,101081.09,58928.76283,
129174.5224,4746.485397,90773.97,51624.09494,
120254.3878,4758.637979,83711.55,42537.75757,
113590.1135,6689.738246,78674.06,39922.39946,
120514.9436,12954.74476,82602.01,38600.54345,
135673.3182,12727.05433,94838.42,49326.89873,
147799.3755,15236.63343,114146.69,58798.49717,
149182.1315,19582.95597,133221.35,73004.39859,
198722.9872,27733.64535,182399.53,103540.9502,
157991.5761,22748.27318,144845.44,87541.82629,
147610.354,22413.52369,135215.22,85478.09809,
136876.3029,19653.67425,126852.95,80516.12331,
137875.0849,20152.4501,116693.69,76399.44729,
131394.1491,19218.79843,102238.28,69372.92566,
116378.745,17129.20719,80074.01,56733.93206,
117112.2374,18898.46651,68452.46,52872.82214,
110628.6837,18560.0095,66882.29,49635.72503,
105769.7515,17174.56996,63370.60,46869.68676,
104064.2929,18823.52994,63123.81,45303.10487,
108102.1762,18945.9677,62310.90,44292.2805,
115571.1696,19349.73077,65097.49,44612.96465,
168198.554,27050.53844,108557.25,66614.8451,
166917.1155,26993.47895,108115.29,66736.18576,
186513.3361,30606.06757,123593.49,77136.2322,
182727.331,30820.99498,119894.79,79226.51806,
172679.9784,29737.07322,104917.89,77278.85946,
166558.7889,28671.94157,93322.95,69417.42047,
161956.3816,27784.83281,86775.38,63818.99227,
166653.6203,28612.96406,87345.02,63038.51173,
175674.1917,29547.93215,97786.95,66011.78777,
182780.0961,30664.71977,112962.59,72471.23169,
183704.0809,31741.02311,129850.78,80226.03593,
229823.1595,39961.08149,180383.59,108728.8716,
190455.6273,33693.981,148359.82,92241.16252,
184779.235,33013.17209,142796.02,90611.29081,
179300.4604,32014.05007,136601.54,87633.81491,
169903.303,29615.76096,124339.84,81086.33775,
150974.5109,27139.73067,112300.16,73577.85095,
117700.5551,22803.40174,85982.79,59772.62845,
104852.491,21221.23934,78464.95,55712.33178,
97120.83452,19603.40961,71958.74,52986.58686,
85177.84662,18668.09677,67121.48,50138.49977,
80557.42292,18256.32611,65564.04,47603.10764,
81659.22348,19475.26505,75354.73,48367.43255,
84372.07402,21184.95816,84202.45,49444.10912,
120778.6426,28645.41046,124534.29,70296.558,
102513.3277,28839.85775,121955.69,64939.06389,
127971.2452,32956.92484,143691.95,76208.40197,
138876.7605,33619.31496,139494.22,77798.64773,
132191.5837,32278.53685,115633.66,68956.26079,
124925.9144,31222.74155,99689.67,61786.2692,
109246.5045,30744.73162,93043.52,56692.37727,
96776.79496,30816.03421,96834.15,52341.86061,
87367.83138,30436.20434,100587.25,47225.97629,
94064.29551,32043.39041,123160.88,53408.12105,
98844.1796,33432.78668,146055.78,60823.39009,
147600.1972,41716.80562,199555.08,84879.85256,
110785.9273,36650.85701,172331.81,68610.92107,
100080.2352,35578.63801,165739.30,61304.63838,
91208.67795,33905.80102,157826.20,54881.30501,
79023.38947,31703.38365,145648.54,47026.8858,
68424.51086,28481.77401,130082.00,38125.94346,
34209.76653,21990.82193,94733.74,20205.56827,
22235.19057,20318.38704,83159.95,15953.03112,
12326.31955,19017.22156,71882.37,7619.288678,
15042.71156,17865.98361,63556.52,-813.337385,
19361.79111,17173.01672,56731.50,-99.24072789,
25975.99573,18007.50112,51565.42,2846.035408,
22307.89619,18817.34588,49933.67,7439.406479,
71001.79312,26685.37493,90285.18,26836.04872,
52111.87365,23285.91761,76246.31,15007.51867,
70707.37936,26458.91492,90470.87,21871.29049,
62281.54201,25664.502,76608.04,19154.38835,
43422.8187,23032.12687,50834.09,12824.46059,
39132.58248,24781.9924,33695.79,7292.46574,
43610.42721,23010.34349,24530.16,8913.6552,
50180.9115,18579.9492,29275.70,13328.85235,
50847.27564,18870.68833,37641.71,16902.05901,
49115.89093,19440.80898,55470.60,22265.22617,
38596.06706,21360.18855,73796.23,28157.33454,
76531.69554,30481.82083,115120.62,51217.55198,
33344.1785,21150.0931,78914.01,35534.31837,
33252.40308,21034.77145,74884.39,32339.77647,
27132.36294,22951.93162,68818.97,29758.61505,
17278.43911,20318.22376,63488.12,23497.27,
5772.523565,16801.33111,55980.97,20941.09539,
-22074.96093,14850.98283,33590.35,9725.864413,
-22733.59714,14292.61003,32413.28,10416.65666,
-31990.86249,10423.81914,35376.18,12433.12287,
-34311.47179,9186.998067,38190.68,10953.85101,
-29994.25241,8709.141839,42743.34,11514.90793,
-28918.42317,9821.2423,51765.24,33316.3712,
-26338.82509,9505.609042,61011.17,13397.59265,
16167.84748,12612.65905,105764.91,34003.66943,
5538.465096,9064.511876,104592.40,30436.97918,
47376.35323,9512.109311,127298.45,42019.64665,
40584.43198,11148.73888,123740.04,36941.98963,
15872.2373,9938.791012,107501.87,30283.92471,
-9.992906397,12863.48924,98815.24,22417.0229,
-4988.046961,15730.36315,100270.59,21299.58604,
2111.758627,18670.69567,104522.58,20925.5024,
23832.68493,23284.99175,115426.51,21893.69021,
54298.78171,27264.94237,131298.62,29199.487,
68481.83054,30954.91202,150784.80,38398.02531,
96058.57665,38032.16928,198095.49,84690.25981,
48080.76431,28786.43672,165924.23,40041.27437,
68101.32278,25094.12254,158668.24,36714.22888,
80204.75512,24388.86849,147980.94,30407.50228,
68124.6172,19749.20196,130239.26,17058.62725,
55081.50451,14000.19118,111448.39,5641.140474,
19864.21392,4936.680149,74886.33,-12394.5075,
-7437.173823,3973.330473,56372.25,-19421.3242,
-28074.81098,2684.237996,39606.78,-15769.57523,
-36374.66949,-575.5129875,29757.74,-18564.84433,
-48134.33242,-7226.707547,24109.07,-25376.96478,
-44577.25347,-10392.68532,22510.99,-29424.43425,
-47619.39291,-13882.03882,13149.26,-29490.63112,
9472.908169,-10308.0587,24175.45,-12958.95806,
-8908.302784,-14629.81232,-16147.65,-18868.06468,
-16909.87466,-13618.64545,-38738.88,-11512.48827,
-27027.43381,-15079.90778,-70768.74,-10417.15107,
-42940.53888,-16682.96082,-103145.33,-14330.07018,
-56622.37901,-18713.06161,-128794.45,-17295.52436,
-66874.46419,-20013.43978,-145608.97,-21918.99401,
-62671.70807,-20278.87591,-149236.34,-32368.07177,
-50832.7523,-19572.05497,-146284.16,-31191.43913,
-37103.37466,-18498.45771,-134165.08,-30988.65871,
-23357.5585,-16552.38277,-112750.50,-20087.29821,
18957.85219,-9146.746925,-69048.70,4758.385206,
-16197.97041,-14192.52243,-94400.84,-8162.000595,
-17303.98968,-12133.74469,-90316.53,-7219.467906,
-22573.74263,-13154.64758,-90978.98,-10653.7079,
-27617.64892,-13612.73689,-92677.90,-5195.429875,
-26519.43797,-11506.48061,-97125.16,27193.49249,
-49132.83504,-17849.06523,-121970.11,-34503.13998,
-56724.44137,-19937.5116,-125338.50,-37572.28573,
-65226.05872,-20389.49518,-134428.06,-40314.77325,
-75838.44992,-20930.93024,-138199.08,-40557.50316,
-66078.67654,-19827.98997,-135661.34,-39604.35582,
-50812.92947,-19574.66193,-137292.85,-37185.32942,
-67149.02979,-19313.38674,-139042.76,-35880.71459,
-29441.00928,-14187.2918,-115877.33,-21931.44378,
-39764.08605,-18539.50379,-144812.84,-33882.85563,
-40108.65118,-18466.89881,-141071.56,-32972.65007,
-34604.78386,-18059.08086,-142426.20,-30609.48757,
-29175.98053,-19106.49099,-143832.48,-42110.59546,
-32113.22805,-19857.38917,-150758.78,-52635.26394,
-37483.20098,-21780.10593,-152165.36,-59932.85703,
-29846.94328,-21542.29105,-145730.17,-58084.87017,
-23291.59771,-19882.07991,-136159.13,-248.2594429,
-24679.55305,-16848.52626,-123897.71,9715.45727,
-16364.30228,-13408.04234,-100109.79,-27421.62666,
27919.2879,-5554.114124,-47102.74,-3303.184443,
-6498.772355,-9351.188526,-68933.47,-14228.55843,
1028.442251,-8368.60701,-66153.97,-15106.86955,
2862.839515,-9358.222729,-61975.65,-17601.26415,
347.0635628,-10906.49727,-75322.02,-18247.66418,
-2767.895629,-12141.5716,-93789.95,-22299.65975,
-36889.29248,-17793.05388,-138053.71,-39650.34173,
-14962.83194,-18967.70932,-145753.84,-41566.47932,
-12248.15432,-20710.5776,-159006.61,-45046.28307,
12880.48458,-20339.82666,-161474.69,-44730.22971,
5686.571148,-18047.48739,-147528.60,7994.457176,
26445.4433,-18274.50033,-136431.31,-38365.03095,
5544.594995,-18229.98025,-134277.03,-37601.55142,
48527.64171,-11130.38597,-98061.16,-19253.27341,
36231.57131,-10476.02393,-94863.50,-18160.11882,
46860.05494,-7274.079671,-67435.78,-6781.358711,
44709.05033,-7418.738932,-70885.13,41074.18856,
42347.66288,-9171.618845,-92636.98,-25494.94239,
41177.96103,-11226.59989,-113457.12,-40149.4001,
28239.97136,-12565.71129,-129608.51,-47728.57246,
15197.69251,-12595.25002,-133371.56,-45729.22181,
13627.51632,-12506.56852,-123765.44,13018.13118,
12389.9397,-10145.80936,-94861.95,-21995.70369,
10358.63562,-7644.815638,-57710.14,-2902.548914,
56612.4228,282.219633,2721.32,23125.48546,
23354.95712,-2944.806378,-10434.51,11996.1613,
21373.17912,-2772.171194,-15629.42,13507.8268,
15704.02259,-3652.553893,-17253.72,17014.80756,
1348.574301,-6014.696831,-33308.27,21851.61111,
-13822.38255,-8138.546426,-46030.22,9712.376431,
-52895.01931,-15426.91933,-93239.43,-10338.10284,
-57384.5141,-15701.60276,-115825.92,-13640.64593,
-57283.21376,-17486.55932,-135416.38,-16924.88022,
-52111.95167,-19731.63515,-143053.83,-19577.49413,
-30736.50403,-19148.74189,-139616.37,-14744.56694,
-25042.81144,-19266.552,-140772.26,-19368.5856,
-20791.79278,-5165.173051,-137370.57,-20168.63693,
25721.09149,5046.550224,-96317.12,19983.70674,
34117.72962,6159.058072,-92016.71,40055.2693,
43932.19229,17927.8836,-77459.06,70341.97705,
31457.18061,24248.67216,-88638.80,23441.97049,
11087.28952,4399.673572,-101282.72,5000.944099,
12608.06972,-12678.94622,-114594.85,-10182.21873,
17581.82952,-15585.06401,-121723.51,-13231.90926,
26426.58791,-14775.15835,-119758.22,-8008.572455,
59430.65009,-9698.479008,-89413.43,4999.747139,
71223.63622,-1758.359673,-46956.44,23409.38543,
112381.8383,8047.939927,-5908.16,43452.98744,
167364.8033,26146.04235,45787.75,68991.61658,
150093.8462,27661.54361,31263.42,58270.67088,
138327.1463,24153.68234,17316.50,50764.78778,
109585.9039,31194.54848,6553.63,39011.63764,
115351.2856,24245.6662,-4527.15,38698.81453,
119163.9122,19498.94206,-19967.55,21402.56111,
83645.06873,6544.183902,-61871.92,-460.0242375,
68647.8549,789.3181012,-56768.08,-13649.1889,
85873.4384,-1374.188907,-49477.22,-14417.0422,
94386.2137,-1684.618943,-33336.80,-8463.81985,
109062.3298,1172.215168,-10096.27,-878.8385953,
107680.8824,599.8606221,-3640.67,-3218.68836,
117828.475,2529.3807,10036.66,-2130.037141,
162037.1303,9751.934166,52658.52,14913.44521,
156374.2176,13818.70019,57467.93,15014.49808,
178511.1282,21670.97801,80250.46,24318.0863,
164811.5315,20294.07193,80401.70,21202.6949,
142795.6797,18283.87783,65962.18,9868.825735,
126779.0068,15424.72468,46404.34,-7064.644725,
114756.4366,11524.49976,19188.71,-23440.64417,
115925.8082,9080.160908,13126.88,-23817.0814,
125411.7407,9101.908436,20885.50,-7462.141147,
136545.1332,10514.66518,46815.81,5552.37081,
130345.5545,11592.75554,81207.03,26082.39212,
165132.7372,16161.5204,128354.59,50391.36381,
136325.4244,11980.64158,101519.48,44060.51003,
139382.8477,11889.30086,90698.81,36474.70902,
134407.7372,8243.637836,74056.36,31708.49135,
139255.1068,4919.896589,55299.42,26511.55331,
128338.6219,2038.487482,36218.08,19171.19676,
59828.16971,-2801.517019,-3307.63,-1487.559381,
50497.39783,-4622.62602,-11318.41,-9825.361276,
46218.80184,-5185.314415,-17339.28,-12079.64559,
60202.53704,1333.498993,-4577.82,1064.146395,
77402.50774,4195.410115,7358.76,15148.94483,
54434.93446,7993.461304,697.93,21455.15799,
45705.89588,14232.83511,-3002.70,38915.90805,
79470.03166,21226.84558,23273.46,65637.23393,
93280.5025,26547.53277,20569.72,76572.70744,
125475.8219,29641.03676,28218.44,93190.27782,
121078.8681,24512.80156,7327.96,99595.52891,
119508.2322,22393.87119,-15105.17,98258.55857,
129580.6159,27255.45673,-22055.93,94655.19831,
127286.6553,32438.68722,-25300.16,91258.70503,
149783.9988,33380.2668,-24351.45,90365.51246,
164367.4534,33857.72031,-22055.71,91034.15919,
185344.0652,35377.45874,-16662.68,89781.29402,
200053.6491,37324.79586,-6156.83,94611.35055,
245936.3664,43688.11184,32457.06,113193.1606,
218472.7849,40135.36179,17821.54,98580.79087,
221054.6312,38872.10085,22194.70,90590.67012,
216784.3227,35365.87159,20931.57,83828.63143,
216021.4124,31469.2731,13589.71,77898.33604,
206804.6729,28311.66426,9713.13,70807.95892,
148489.279,11605.89943,-25020.72,41407.87787,
139235.1689,7713.041907,-21098.11,40195.17386,
124290.9784,3587.038143,-17358.18,37466.44266,
126220.3736,3877.581985,-9567.55,41995.73959,
118676.9875,6120.017185,5738.01,45016.03611,
117084.4249,6032.16226,17483.26,48484.92229,
117237.8602,12244.15847,36720.61,52897.43806,
141249.2362,20811.75341,70827.50,68338.4998,
162500.3606,26440.97944,91053.20,72060.5851,
193543.7757,32109.81345,112469.23,76936.57487,
193758.7726,31791.99267,102997.38,70605.62951,
219486.9326,34348.49052,110113.45,73183.35907,
214523.5914,32216.21968,94831.66,68724.92548,
208943.1799,28513.34828,81294.68,62212.65323,
211581.5951,25002.05931,67938.85,59068.65058,
219462.5704,27607.63305,60552.63,50722.34946,
225743.1979,25145.85158,57353.40,35101.15287,
228740.9757,19985.07078,56941.62,25724.82633,
254029.8857,18754.13035,78196.06,45862.65618,
217764.4264,8917.301242,49348.34,44056.3921,
190651,4448.350209,31260.43,39877.33046,
